Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0035255	ionotropic glutamate receptor binding	 	9.455E-5	3.706E-2	3.706E-2	2.428E-1	3	26	SHANK2,DLG2,OPHN1
GO: Biological Process	GO:0071625	vocalization behavior	 	1.237E-7	2.336E-4	2.336E-4	1.897E-3	4	14	SHANK2,NRXN1,CNTNAP2,AUTS2
GO: Biological Process	GO:0007416	synapse assembly	 	7.385E-7	1.394E-3	4.862E-4	3.948E-3	7	148	MAGI2,SHANK2,PTPRD,NRXN1,ASIC2,ROBO2,LINGO2
GO: Biological Process	GO:0048666	neuron development	 	7.725E-7	1.459E-3	4.862E-4	3.948E-3	16	1114	MAGI2,TENM4,PTPRD,PTPRG,NRXN1,CNTNAP2,DAB1,PCDH15,DLG2,ROBO2,LINGO2,CTNNA2,DMD,TENM2,ALK,OPHN1
GO: Biological Process	GO:0035418	protein localization to synapse	 	2.441E-6	4.608E-3	1.041E-3	8.454E-3	4	28	NRXN1,ASIC2,ANKS1B,DLG2
GO: Biological Process	GO:0050808	synapse organization	 	2.757E-6	5.205E-3	1.041E-3	8.454E-3	8	258	MAGI2,SHANK2,PTPRD,NRXN1,ASIC2,ROBO2,LINGO2,CTNNA2
GO: Biological Process	GO:0050807	regulation of synapse organization	 	4.629E-6	8.739E-3	1.456E-3	1.183E-2	6	126	MAGI2,NRXN1,ASIC2,ROBO2,LINGO2,CTNNA2
GO: Biological Process	GO:0097120	receptor localization to synapse	 	8.330E-6	1.573E-2	2.247E-3	1.825E-2	3	12	NRXN1,ANKS1B,DLG2
GO: Biological Process	GO:0048699	generation of neurons	 	1.057E-5	1.995E-2	2.493E-3	2.025E-2	17	1528	MAGI2,TENM4,PTPRD,PTPRG,NRXN1,CNTNAP2,DAB1,PCDH15,DLG2,ROBO2,LINGO2,CTNNA2,DMD,TERT,TENM2,ALK,OPHN1
GO: Biological Process	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	 	1.366E-5	2.580E-2	2.729E-3	2.216E-2	7	230	PTPRD,PTPRG,NRXN1,DAB1,PCDH15,ROBO2,TENM2
GO: Biological Process	GO:0030182	neuron differentiation	 	1.445E-5	2.729E-2	2.729E-3	2.216E-2	16	1398	MAGI2,TENM4,PTPRD,PTPRG,NRXN1,CNTNAP2,DAB1,PCDH15,DLG2,ROBO2,LINGO2,CTNNA2,DMD,TENM2,ALK,OPHN1
GO: Biological Process	GO:0097090	presynaptic membrane organization	 	1.710E-5	3.229E-2	2.935E-3	2.384E-2	3	15	MAGI2,PTPRD,NRXN1
GO: Biological Process	GO:0022008	neurogenesis	 	2.418E-5	4.565E-2	3.804E-3	3.089E-2	17	1628	MAGI2,TENM4,PTPRD,PTPRG,NRXN1,CNTNAP2,DAB1,PCDH15,DLG2,ROBO2,LINGO2,CTNNA2,DMD,TERT,TENM2,ALK,OPHN1
GO: Biological Process	GO:0050803	regulation of synapse structure or activity	 	4.006E-5	7.563E-2	5.818E-3	4.725E-2	7	272	MAGI2,SHANK2,NRXN1,ASIC2,ROBO2,LINGO2,CTNNA2
GO: Biological Process	GO:0097118	neuroligin clustering involved in postsynaptic membrane assembly	 	6.945E-5	1.311E-1	9.246E-3	7.508E-2	2	4	MAGI2,NRXN1
GO: Biological Process	GO:0030030	cell projection organization	 	7.346E-5	1.387E-1	9.246E-3	7.508E-2	15	1423	LPIN1,MAGI2,PTPRD,PTPRG,NRXN1,BCAS3,CNTNAP2,DAB1,PCDH15,ROBO2,LINGO2,CTNNA2,DMD,TENM2,OPHN1
GO: Biological Process	GO:0051962	positive regulation of nervous system development	 	7.941E-5	1.499E-1	9.337E-3	7.582E-2	9	531	MAGI2,TENM4,PTPRD,NRXN1,ASIC2,DAB1,ROBO2,LINGO2,DMD
GO: Biological Process	GO:0031175	neuron projection development	 	8.407E-5	1.587E-1	9.337E-3	7.582E-2	12	953	MAGI2,PTPRD,PTPRG,NRXN1,CNTNAP2,DAB1,ROBO2,LINGO2,CTNNA2,DMD,TENM2,OPHN1
GO: Biological Process	GO:0071709	membrane assembly	 	9.512E-5	1.796E-1	9.977E-3	8.102E-2	3	26	MAGI2,PTPRD,NRXN1
GO: Biological Process	GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	 	1.067E-4	2.015E-1	1.061E-2	8.614E-2	3	27	SLC8A1,PDE4D,DMD
GO: Biological Process	GO:0014808	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	 	1.471E-4	2.777E-1	1.322E-2	1.074E-1	3	30	SLC8A1,PDE4D,DMD
GO: Biological Process	GO:1903514	release of sequestered calcium ion into cytosol by endoplasmic reticulum	 	1.471E-4	2.777E-1	1.322E-2	1.074E-1	3	30	SLC8A1,PDE4D,DMD
GO: Biological Process	GO:0009612	response to mechanical stimulus	 	1.577E-4	2.978E-1	1.350E-2	1.097E-1	6	236	SLC8A1,NRXN1,ASIC2,CNTNAP2,PCDH15,DMD
GO: Biological Process	GO:0048667	cell morphogenesis involved in neuron differentiation	 	1.761E-4	3.325E-1	1.350E-2	1.097E-1	9	590	PTPRD,NRXN1,DAB1,PCDH15,ROBO2,LINGO2,CTNNA2,TENM2,OPHN1
GO: Biological Process	GO:0044091	membrane biogenesis	 	1.788E-4	3.376E-1	1.350E-2	1.097E-1	3	32	MAGI2,PTPRD,NRXN1
GO: Biological Process	GO:0001964	startle response	 	1.788E-4	3.376E-1	1.350E-2	1.097E-1	3	32	NRXN1,PCDH15,CTNNA2
GO: Biological Process	GO:0051960	regulation of nervous system development	 	1.860E-4	3.512E-1	1.351E-2	1.097E-1	11	881	MAGI2,TENM4,PTPRD,PTPRG,NRXN1,ASIC2,DAB1,ROBO2,LINGO2,DMD,TERT
GO: Biological Process	GO:0070296	sarcoplasmic reticulum calcium ion transport	 	2.342E-4	4.422E-1	1.381E-2	1.122E-1	3	35	SLC8A1,PDE4D,DMD
GO: Biological Process	GO:0051963	regulation of synapse assembly	 	2.382E-4	4.498E-1	1.381E-2	1.122E-1	4	88	NRXN1,ASIC2,ROBO2,LINGO2
GO: Biological Process	GO:0098596	imitative learning	 	2.415E-4	4.559E-1	1.381E-2	1.122E-1	2	7	NRXN1,CNTNAP2
GO: Biological Process	GO:0098598	learned vocalization behavior or vocal learning	 	2.415E-4	4.559E-1	1.381E-2	1.122E-1	2	7	NRXN1,CNTNAP2
GO: Biological Process	GO:0042297	vocal learning	 	2.415E-4	4.559E-1	1.381E-2	1.122E-1	2	7	NRXN1,CNTNAP2
GO: Biological Process	GO:0097264	self proteolysis	 	2.415E-4	4.559E-1	1.381E-2	1.122E-1	2	7	TENM4,TENM2
GO: Biological Process	GO:0021942	radial glia guided migration of Purkinje cell	 	2.415E-4	4.559E-1	1.381E-2	1.122E-1	2	7	DAB1,CTNNA2
GO: Biological Process	GO:0030534	adult behavior	 	2.949E-4	5.568E-1	1.638E-2	1.330E-1	5	170	SHANK2,NRXN1,CNTNAP2,DAB1,PCDH15
GO: Biological Process	GO:0097104	postsynaptic membrane assembly	 	3.212E-4	6.065E-1	1.733E-2	1.407E-1	2	8	MAGI2,NRXN1
GO: Biological Process	GO:0031344	regulation of cell projection organization	 	3.896E-4	7.356E-1	1.995E-2	1.620E-1	9	657	MAGI2,PTPRD,PTPRG,NRXN1,BCAS3,DAB1,ROBO2,DMD,TENM2
GO: Biological Process	GO:0097091	synaptic vesicle clustering	 	4.121E-4	7.780E-1	1.995E-2	1.620E-1	2	9	MAGI2,NRXN1
GO: Biological Process	GO:0098597	observational learning	 	4.121E-4	7.780E-1	1.995E-2	1.620E-1	2	9	NRXN1,CNTNAP2
GO: Biological Process	GO:0097105	presynaptic membrane assembly	 	4.121E-4	7.780E-1	1.995E-2	1.620E-1	2	9	PTPRD,NRXN1
GO: Biological Process	GO:0031223	auditory behavior	 	5.140E-4	9.704E-1	2.426E-2	1.970E-1	2	10	NRXN1,CNTNAP2
GO: Biological Process	GO:0051489	regulation of filopodium assembly	 	5.288E-4	9.984E-1	2.435E-2	1.977E-1	3	46	NRXN1,BCAS3,TENM2
GO: Biological Process	GO:0060013	righting reflex	 	6.268E-4	1.000E0	2.818E-2	2.288E-1	2	11	PCDH15,AUTS2
GO: Biological Process	GO:0050905	neuromuscular process	 	7.731E-4	1.000E0	3.153E-2	2.560E-1	4	120	NRXN1,PCDH15,CTNNA2,CAMTA1
GO: Biological Process	GO:0043113	receptor clustering	 	8.022E-4	1.000E0	3.153E-2	2.560E-1	3	53	MAGI2,NRXN1,DLG2
GO: Biological Process	GO:0051703	intraspecies interaction between organisms	 	8.022E-4	1.000E0	3.153E-2	2.560E-1	3	53	SHANK2,NRXN1,CNTNAP2
GO: Biological Process	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	 	8.022E-4	1.000E0	3.153E-2	2.560E-1	3	53	PTPRD,NRXN1,TENM2
