Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0001067	regulatory region nucleic acid binding	 	5.717E-7	1.864E-4	5.391E-5	3.432E-4	15	1036	JARID2,RB1,MBNL1,DACH1,ZNF521,ETV6,ELF1,CHD2,PAX5,EBF1,RUNX1,PBX1,PBX3,JMJD1C,MEF2C
GO: Molecular Function	GO:0000976	transcription regulatory region sequence-specific DNA binding	 	6.095E-7	1.987E-4	5.391E-5	3.432E-4	14	898	JARID2,RB1,DACH1,ZNF521,ETV6,ELF1,CHD2,PAX5,EBF1,RUNX1,PBX1,PBX3,JMJD1C,MEF2C
GO: Molecular Function	GO:0043565	sequence-specific DNA binding	 	6.580E-7	2.145E-4	5.391E-5	3.432E-4	16	1199	JARID2,RB1,DACH1,ZNF521,ETV6,ELF1,CHD2,NR3C2,PAX5,EBF1,RUNX1,PBX1,PBX3,JMJD1C,ZEB2,MEF2C
GO: Molecular Function	GO:0003690	double-stranded DNA binding	 	6.615E-7	2.157E-4	5.391E-5	3.432E-4	15	1048	JARID2,RB1,DACH1,ZNF521,ETV6,ELF1,CHD2,NR3C2,PAX5,EBF1,RUNX1,PBX1,PBX3,JMJD1C,MEF2C
GO: Molecular Function	GO:1990837	sequence-specific double-stranded DNA binding	 	1.163E-6	3.790E-4	7.580E-5	4.825E-4	14	948	JARID2,RB1,DACH1,ZNF521,ETV6,ELF1,CHD2,PAX5,EBF1,RUNX1,PBX1,PBX3,JMJD1C,MEF2C
GO: Molecular Function	GO:0001012	RNA polymerase II regulatory region DNA binding	 	2.353E-6	7.672E-4	1.279E-4	8.139E-4	13	861	JARID2,RB1,DACH1,ZNF521,ETV6,ELF1,CHD2,PAX5,EBF1,RUNX1,PBX1,PBX3,MEF2C
GO: Molecular Function	GO:0044212	transcription regulatory region DNA binding	 	3.117E-6	1.016E-3	1.452E-4	9.241E-4	14	1031	JARID2,RB1,DACH1,ZNF521,ETV6,ELF1,CHD2,PAX5,EBF1,RUNX1,PBX1,PBX3,JMJD1C,MEF2C
GO: Molecular Function	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	 	1.251E-5	4.077E-3	5.096E-4	3.244E-3	12	853	JARID2,DACH1,ZNF521,ETV6,ELF1,CHD2,PAX5,EBF1,RUNX1,PBX1,PBX3,MEF2C
GO: Molecular Function	GO:0000987	proximal promoter sequence-specific DNA binding	 	1.591E-5	5.186E-3	5.762E-4	3.668E-3	10	594	RB1,DACH1,ETV6,ELF1,CHD2,PAX5,EBF1,RUNX1,PBX1,MEF2C
GO: Molecular Function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	 	1.998E-5	6.514E-3	6.019E-4	3.832E-3	9	483	ETV6,ELF1,PAX5,EBF1,RUNX1,PBX1,PBX3,ZEB2,MEF2C
GO: Molecular Function	GO:0001216	DNA-binding transcription activator activity	 	2.031E-5	6.621E-3	6.019E-4	3.832E-3	9	484	ETV6,ELF1,PAX5,EBF1,RUNX1,PBX1,PBX3,ZEB2,MEF2C
