Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0008143	poly(A) binding	 	3.347E-4	7.163E-2	3.393E-2	2.017E-1	2	17	DDX1,KHDRBS2
GO: Molecular Function	GO:0005328	neurotransmitter:sodium symporter activity	 	4.200E-4	8.989E-2	3.393E-2	2.017E-1	2	19	SLC6A18,SLC6A19
GO: Molecular Function	GO:0005326	neurotransmitter transporter activity	 	7.325E-4	1.568E-1	3.393E-2	2.017E-1	2	25	SLC6A18,SLC6A19
GO: Molecular Function	GO:0070717	poly-purine tract binding	 	7.325E-4	1.568E-1	3.393E-2	2.017E-1	2	25	DDX1,KHDRBS2
GO: Molecular Function	GO:0035255	ionotropic glutamate receptor binding	 	7.927E-4	1.696E-1	3.393E-2	2.017E-1	2	26	DLG2,SHANK2
GO: Molecular Function	GO:0015081	sodium ion transmembrane transporter activity	 	1.331E-3	2.848E-1	4.747E-2	2.822E-1	3	136	SLC6A18,ASIC2,SLC6A19
GO: Biological Process	GO:0035418	protein localization to synapse	 	1.090E-7	1.095E-4	1.095E-4	8.199E-4	4	28	ANKS1B,DLG2,NRXN1,ASIC2
GO: Biological Process	GO:0097120	receptor localization to synapse	 	8.218E-7	8.251E-4	4.125E-4	3.090E-3	3	12	ANKS1B,DLG2,NRXN1
GO: Biological Process	GO:0071625	vocalization behavior	 	1.357E-6	1.362E-3	4.541E-4	3.401E-3	3	14	AUTS2,SHANK2,NRXN1
GO: Biological Process	GO:0050808	synapse organization	 	2.996E-6	3.008E-3	7.222E-4	5.409E-3	6	258	LINGO2,PTPRD,SHANK2,CTNND2,NRXN1,ASIC2
GO: Biological Process	GO:0007416	synapse assembly	 	3.597E-6	3.611E-3	7.222E-4	5.409E-3	5	148	LINGO2,PTPRD,SHANK2,NRXN1,ASIC2
GO: Biological Process	GO:0050803	regulation of synapse structure or activity	 	6.769E-5	6.797E-2	1.133E-2	8.484E-2	5	272	LINGO2,SHANK2,CTNND2,NRXN1,ASIC2
