Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0061714	folic acid receptor activity	 	1.199E-5	3.105E-3	2.832E-3	1.738E-2	2	2	FOLR1,FOLR2
GO: Molecular Function	GO:0005542	folic acid binding	 	2.187E-5	5.664E-3	2.832E-3	1.738E-2	3	16	FOLR1,FOLR2,FOLR3
GO: Molecular Function	GO:0051870	methotrexate binding	 	7.136E-5	1.848E-2	6.161E-3	3.780E-2	2	4	FOLR1,FOLR2
GO: Molecular Function	GO:0008517	folic acid transmembrane transporter activity	 	3.300E-4	8.547E-2	2.137E-2	1.311E-1	2	8	FOLR1,FOLR2
GO: Molecular Function	GO:0016597	amino acid binding	 	9.195E-4	2.381E-1	4.763E-2	2.923E-1	4	124	FOLR1,FOLR2,FOLR3,NAGS
GO: Biological Process	GO:0015884	folic acid transport	 	3.681E-6	7.444E-3	6.468E-3	5.297E-2	3	9	FOLR1,FOLR2,FOLR3
GO: Biological Process	GO:0042635	positive regulation of hair cycle	 	7.194E-6	1.455E-2	6.468E-3	5.297E-2	3	11	KRT17,TNF,TERT
GO: Biological Process	GO:0002876	positive regulation of chronic inflammatory response to antigenic stimulus	 	1.280E-5	2.587E-2	6.468E-3	5.297E-2	2	2	LTA,TNF
GO: Biological Process	GO:0071231	cellular response to folic acid	 	1.280E-5	2.587E-2	6.468E-3	5.297E-2	2	2	FOLR1,FOLR2
GO: Biological Process	GO:0006835	dicarboxylic acid transport	 	3.294E-5	6.661E-2	1.286E-2	1.053E-1	5	102	FOLR1,FOLR2,FOLR3,PPFIA1,TNF
GO: Biological Process	GO:0002874	regulation of chronic inflammatory response to antigenic stimulus	 	3.816E-5	7.717E-2	1.286E-2	1.053E-1	2	3	LTA,TNF
GO: Biological Process	GO:0071230	cellular response to amino acid stimulus	 	8.782E-5	1.776E-1	2.328E-2	1.906E-1	4	65	FOLR1,FOLR2,TNF,LAMTOR1
GO: Biological Process	GO:0042634	regulation of hair cycle	 	9.673E-5	1.956E-1	2.328E-2	1.906E-1	3	25	KRT17,TNF,TERT
