Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0042974	retinoic acid receptor binding	 	2.309E-9	4.410E-7	4.410E-7	2.572E-6	6	51	PRAMEF10,PRAMEF12,PRAMEF4,PRAMEF1,PRAMEF2,PRAMEF6
GO: Molecular Function	GO:0035257	nuclear hormone receptor binding	 	1.076E-7	2.054E-5	1.027E-5	5.991E-5	7	161	PRAMEF10,PRAMEF12,PRAMEF4,PRAMEF1,PRAMEF2,ZNHIT3,PRAMEF6
GO: Molecular Function	GO:0051427	hormone receptor binding	 	2.576E-7	4.920E-5	1.640E-5	9.565E-5	7	183	PRAMEF10,PRAMEF12,PRAMEF4,PRAMEF1,PRAMEF2,ZNHIT3,PRAMEF6
GO: Molecular Function	GO:0008134	transcription factor binding	 	6.800E-5	1.299E-2	3.247E-3	1.894E-2	8	584	PRAMEF10,PRAMEF12,PRAMEF4,PRAMEF1,PRAMEF2,TERT,ZNHIT3,PRAMEF6
GO: Molecular Function	GO:0015293	symporter activity	 	3.860E-4	7.372E-2	1.474E-2	8.599E-2	4	143	SLC6A18,SLC25A3,SLC6A19,SLC12A7
GO: Molecular Function	GO:0005328	neurotransmitter:sodium symporter activity	 	9.473E-4	1.809E-1	3.015E-2	1.759E-1	2	19	SLC6A18,SLC6A19
GO: Molecular Function	GO:0005326	neurotransmitter transporter activity	 	1.647E-3	3.145E-1	4.055E-2	2.365E-1	2	25	SLC6A18,SLC6A19
GO: Molecular Function	GO:0015294	solute:cation symporter activity	 	1.698E-3	3.244E-1	4.055E-2	2.365E-1	3	98	SLC6A18,SLC6A19,SLC12A7
GO: Molecular Function	GO:0003721	telomerase RNA reverse transcriptase activity	 	2.417E-3	4.617E-1	4.726E-2	2.756E-1	1	1	TERT
GO: Molecular Function	GO:0015291	secondary active transmembrane transporter activity	 	2.474E-3	4.726E-1	4.726E-2	2.756E-1	4	236	SLC6A18,SLC25A3,SLC6A19,SLC12A7
GO: Biological Process	GO:0048387	negative regulation of retinoic acid receptor signaling pathway	 	9.631E-11	9.871E-8	9.871E-8	7.414E-7	6	29	PRAMEF10,PRAMEF12,PRAMEF4,PRAMEF1,PRAMEF2,PRAMEF6
GO: Biological Process	GO:0048385	regulation of retinoic acid receptor signaling pathway	 	3.896E-10	3.993E-7	1.997E-7	1.500E-6	6	36	PRAMEF10,PRAMEF12,PRAMEF4,PRAMEF1,PRAMEF2,PRAMEF6
