Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0000987	proximal promoter sequence-specific DNA binding	 	3.757E-11	1.593E-8	1.593E-8	1.056E-7	18	594	FOXO3,ZNF384,TCF4,TCF3,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,UHRF1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	 	1.455E-10	6.171E-8	2.120E-8	1.405E-7	16	483	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,ETV6,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ELF1,PAX5,PBX1,STAG2
GO: Molecular Function	GO:0001216	DNA-binding transcription activator activity	 	1.500E-10	6.361E-8	2.120E-8	1.405E-7	16	484	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,ETV6,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ELF1,PAX5,PBX1,STAG2
GO: Molecular Function	GO:1990837	sequence-specific double-stranded DNA binding	 	2.293E-10	9.721E-8	2.430E-8	1.611E-7	21	948	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ABL1,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ARID5B,UHRF1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0043565	sequence-specific DNA binding	 	4.457E-10	1.890E-7	3.780E-8	2.505E-7	23	1199	FOXO3,RAG1,RAG2,ZNF384,TCF4,TCF3,IKZF3,ABL1,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ARID5B,UHRF1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0000976	transcription regulatory region sequence-specific DNA binding	 	6.135E-10	2.601E-7	4.336E-8	2.874E-7	20	898	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ARID5B,UHRF1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0044212	transcription regulatory region DNA binding	 	1.051E-9	4.455E-7	6.075E-8	4.026E-7	21	1031	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TBL1XR1,MEF2C,TSC22D1,ARID5B,UHRF1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0001067	regulatory region nucleic acid binding	 	1.146E-9	4.860E-7	6.075E-8	4.026E-7	21	1036	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TBL1XR1,MEF2C,TSC22D1,ARID5B,UHRF1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0003690	double-stranded DNA binding	 	1.409E-9	5.976E-7	6.640E-8	4.401E-7	21	1048	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ABL1,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ARID5B,UHRF1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	 	2.071E-9	8.782E-7	8.045E-8	5.332E-7	16	580	FOXO3,ZNF384,TCF4,TCF3,ERG,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0001012	RNA polymerase II regulatory region DNA binding	 	2.087E-9	8.849E-7	8.045E-8	5.332E-7	19	861	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ARID5B,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	 	1.198E-8	5.080E-6	4.233E-7	2.806E-6	18	853	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ARID5B,ELF1,PAX5,PBX1
GO: Molecular Function	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	 	1.220E-7	5.172E-5	3.979E-6	2.637E-5	23	1614	FOXO3,ZNF384,TCF4,TCF3,IKZF3,ERG,TOX,ATRX,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,MEF2C,TSC22D1,ARID2,ARID5B,ELF1,PAX5,PBX1,LCOR,STAG2
GO: Molecular Function	GO:0003682	chromatin binding	 	3.329E-7	1.412E-4	1.008E-5	6.683E-5	14	629	FOXO3,RAG2,TCF4,NCOA6,TCF3,ERG,ATRX,XBP1,NR3C1,RUNX1,MEF2C,WAC,UHRF1,STAG2
