Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0003682	chromatin binding	 	3.279E-11	7.476E-9	7.476E-9	4.492E-8	13	629	NUP98,NSD1,KMT2A,MLLT3,FOXP1,CTBP2,FUS,THRB,MLLT10,RUNX1,ERG,CBFA2T3,KDM5A
GO: Molecular Function	GO:0001067	regulatory region nucleic acid binding	 	1.467E-7	3.346E-5	1.673E-5	1.005E-4	12	1036	MYC,WT1,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,KDM5A,GLIS2,MBNL1
GO: Molecular Function	GO:0003712	transcription coregulator activity	 	8.606E-7	1.962E-4	6.541E-5	3.930E-4	9	597	NUP98,NSD1,CTBP2,FUS,THRB,RUNX1T1,CBFA2T3,CBFB,KDM5A
GO: Molecular Function	GO:0044212	transcription regulatory region DNA binding	 	1.259E-6	2.870E-4	7.175E-5	4.312E-4	11	1031	MYC,WT1,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,KDM5A,GLIS2
GO: Molecular Function	GO:0043565	sequence-specific DNA binding	 	5.460E-6	1.245E-3	2.490E-4	1.496E-3	11	1199	MYC,WT1,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,CBFB,GLIS2
GO: Molecular Function	GO:0003690	double-stranded DNA binding	 	1.158E-5	2.640E-3	4.313E-4	2.592E-3	10	1048	MYC,WT1,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,GLIS2
GO: Molecular Function	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	 	1.564E-5	3.565E-3	4.313E-4	2.592E-3	12	1614	MYC,WT1,ETV6,KMT2A,MLLT3,FOXP1,THRB,RUNX1,ERG,CBFB,KDM5A,GLIS2
GO: Molecular Function	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	 	1.581E-5	3.604E-3	4.313E-4	2.592E-3	9	853	MYC,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,GLIS2
GO: Molecular Function	GO:0001012	RNA polymerase II regulatory region DNA binding	 	1.703E-5	3.882E-3	4.313E-4	2.592E-3	9	861	MYC,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,GLIS2
GO: Molecular Function	GO:0000976	transcription regulatory region sequence-specific DNA binding	 	2.378E-5	5.422E-3	5.422E-4	3.258E-3	9	898	MYC,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,GLIS2
GO: Molecular Function	GO:0003713	transcription coactivator activity	 	3.067E-5	6.993E-3	6.357E-4	3.820E-3	6	340	NUP98,CTBP2,FUS,THRB,CBFB,KDM5A
GO: Molecular Function	GO:0042974	retinoic acid receptor binding	 	3.467E-5	7.905E-3	6.392E-4	3.841E-3	3	35	NSD1,CTBP2,FUS
GO: Molecular Function	GO:1990837	sequence-specific double-stranded DNA binding	 	3.645E-5	8.310E-3	6.392E-4	3.841E-3	9	948	MYC,NSD1,ETV6,KMT2A,FOXP1,THRB,RUNX1,ERG,GLIS2
GO: Molecular Function	GO:0140297	DNA-binding transcription factor binding	 	7.163E-5	1.633E-2	1.167E-3	7.009E-3	6	396	MYC,NSD1,FOXP1,CTBP2,FUS,RUNX1
GO: Molecular Function	GO:0003714	transcription corepressor activity	 	9.389E-5	2.141E-2	1.427E-3	8.576E-3	5	256	NSD1,CTBP2,THRB,RUNX1T1,CBFA2T3
GO: Molecular Function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	 	2.120E-4	4.834E-2	2.876E-3	1.728E-2	6	483	MYC,WT1,ETV6,RUNX1,ERG,GLIS2
GO: Molecular Function	GO:0001216	DNA-binding transcription activator activity	 	2.144E-4	4.888E-2	2.876E-3	1.728E-2	6	484	MYC,WT1,ETV6,RUNX1,ERG,GLIS2
GO: Molecular Function	GO:0035257	nuclear hormone receptor binding	 	2.717E-4	6.195E-2	3.442E-3	2.068E-2	4	174	NSD1,FOXP1,CTBP2,FUS
GO: Molecular Function	GO:0008134	transcription factor binding	 	3.440E-4	7.844E-2	4.128E-3	2.481E-2	7	750	MYC,NSD1,FOXP1,CTBP2,FUS,THRB,RUNX1
GO: Molecular Function	GO:0042393	histone binding	 	4.874E-4	1.111E-1	5.344E-3	3.211E-2	4	203	KMT2A,MLLT3,MLLT10,KDM5A
GO: Molecular Function	GO:0051427	hormone receptor binding	 	5.245E-4	1.196E-1	5.344E-3	3.211E-2	4	207	NSD1,FOXP1,CTBP2,FUS
GO: Molecular Function	GO:0070577	lysine-acetylated histone binding	 	5.390E-4	1.229E-1	5.344E-3	3.211E-2	2	19	KMT2A,MLLT3
GO: Molecular Function	GO:0140033	acetylation-dependent protein binding	 	5.390E-4	1.229E-1	5.344E-3	3.211E-2	2	19	KMT2A,MLLT3
