Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0003682	chromatin binding	 	5.642E-11	2.985E-8	2.985E-8	2.044E-7	21	629	RAG2,TCF4,NCOA6,TSHZ3,TCF3,ERG,ATRX,KDM4C,NUP98,XBP1,NR3C1,MLLT10,RUNX1,DDX1,AUTS2,UHRF1,KMT2A,MLLT3,CTBP2,STAG2,TP53
GO: Molecular Function	GO:0000987	proximal promoter sequence-specific DNA binding	 	1.061E-9	5.614E-7	2.807E-7	1.923E-6	19	594	MYCN,TCF4,TCF3,ZNF536,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TSC22D1,UHRF1,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0043565	sequence-specific DNA binding	 	1.238E-8	6.548E-6	1.481E-6	1.015E-5	25	1199	MYCN,RAG1,RAG2,TCF4,TCF3,ZNF536,ABL1,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,CBFB,TSC22D1,ARID5B,UHRF1,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0044212	transcription regulatory region DNA binding	 	1.536E-8	8.124E-6	1.481E-6	1.015E-5	23	1031	SOX5,MYCN,TCF4,TCF3,ZNF536,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TBL1XR1,TSC22D1,ARID5B,UHRF1,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:1990837	sequence-specific double-stranded DNA binding	 	1.651E-8	8.736E-6	1.481E-6	1.015E-5	22	948	MYCN,TCF4,TCF3,ZNF536,ABL1,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TSC22D1,ARID5B,UHRF1,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0001067	regulatory region nucleic acid binding	 	1.680E-8	8.888E-6	1.481E-6	1.015E-5	23	1036	SOX5,MYCN,TCF4,TCF3,ZNF536,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TBL1XR1,TSC22D1,ARID5B,UHRF1,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	 	3.181E-8	1.683E-5	2.140E-6	1.466E-5	17	580	MYCN,TCF4,TCF3,ZNF536,ERG,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TSC22D1,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0000976	transcription regulatory region sequence-specific DNA binding	 	3.236E-8	1.712E-5	2.140E-6	1.466E-5	21	898	MYCN,TCF4,TCF3,ZNF536,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TSC22D1,ARID5B,UHRF1,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	 	7.236E-8	3.828E-5	4.253E-6	2.913E-5	28	1614	SOX5,MYCN,BNC2,TCF4,TSHZ3,TCF3,ZNF536,ERG,TOX,ATRX,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,CBFB,TSC22D1,ARID2,ARID5B,KMT2A,MLLT3,ELF1,ZFHX3,PAX5,PBX1,STAG2,TP53
GO: Molecular Function	GO:0001012	RNA polymerase II regulatory region DNA binding	 	8.067E-8	4.268E-5	4.268E-6	2.923E-5	20	861	MYCN,TCF4,TCF3,ZNF536,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TSC22D1,ARID5B,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0003690	double-stranded DNA binding	 	9.729E-8	5.146E-5	4.679E-6	3.204E-5	22	1048	MYCN,TCF4,TCF3,ZNF536,ABL1,ERG,RB1,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TSC22D1,ARID5B,UHRF1,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0042393	histone binding	 	2.567E-7	1.358E-4	1.132E-5	7.751E-5	10	203	RAG1,RAG2,ATRX,MLLT10,WRAP53,TBL1XR1,KMT2C,UHRF1,KMT2A,MLLT3
GO: Molecular Function	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	 	3.392E-7	1.794E-4	1.380E-5	9.453E-5	19	853	MYCN,TCF4,TCF3,ZNF536,ERG,XBP1,ETV6,IKZF1,EBF1,NR3C1,RUNX1,TSC22D1,ARID5B,KMT2A,ELF1,ZFHX3,PAX5,PBX1,TP53
GO: Molecular Function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	 	6.641E-7	3.513E-4	2.401E-5	1.644E-4	14	483	MYCN,TCF4,TCF3,ERG,ETV6,EBF1,NR3C1,RUNX1,TSC22D1,ELF1,PAX5,PBX1,STAG2,TP53
GO: Molecular Function	GO:0001216	DNA-binding transcription activator activity	 	6.807E-7	3.601E-4	2.401E-5	1.644E-4	14	484	MYCN,TCF4,TCF3,ERG,ETV6,EBF1,NR3C1,RUNX1,TSC22D1,ELF1,PAX5,PBX1,STAG2,TP53
GO: Molecular Function	GO:0003712	transcription coregulator activity	 	1.543E-6	8.160E-4	5.100E-5	3.493E-4	15	597	TCF4,NCOA6,TCF3,ABL1,RB1,NUP98,NR3C1,RUNX1T1,CBFB,TBL1XR1,DDX1,KMT2C,BTG1,ARID5B,CTBP2
GO: Molecular Function	GO:0019900	kinase binding	 	1.954E-5	1.034E-2	6.080E-4	4.164E-3	17	926	CDKN2A,MYCN,CDKN2B,TCF3,ABL1,DSCAM,RB1,XBP1,NR3C1,ADD3,PRKRA,BTG1,DLG2,CTBP2,PRKG1,SPAG16,TP53
GO: Molecular Function	GO:0003713	transcription coactivator activity	 	2.552E-5	1.350E-2	7.500E-4	5.137E-3	10	340	NCOA6,TCF3,ABL1,RB1,NUP98,NR3C1,CBFB,KMT2C,ARID5B,CTBP2
GO: Molecular Function	GO:0046983	protein dimerization activity	 	5.992E-5	3.170E-2	1.668E-3	1.143E-2	22	1556	SOX5,MYCN,RAG1,TCF4,TCF3,EXD1,KHDRBS2,XBP1,IKZF1,GRIK2,EBF1,NR3C1,RUNX1,RUNX1T1,PTPRT,PRKRA,DST,KMT2A,DLG2,PRKG1,PBX1,TP53
GO: Molecular Function	GO:0008134	transcription factor binding	 	9.511E-5	5.031E-2	2.516E-3	1.723E-2	14	750	MKKS,CDKN2A,TCF4,NCOA6,TCF3,RB1,KDM4C,XBP1,NR3C1,RUNX1,ARID2,CTBP2,PBX1,TP53
GO: Molecular Function	GO:0097109	neuroligin family protein binding	 	3.202E-4	1.694E-1	7.703E-3	5.276E-2	2	5	NRXN3,NRXN1
GO: Molecular Function	GO:0042802	identical protein binding	 	3.204E-4	1.695E-1	7.703E-3	5.276E-2	24	1995	RAG1,TCF4,TCF3,NDE1,RB1,EXD1,HCN1,MATR3,KHDRBS2,RALYL,NCAM2,GRIK2,NR3C1,RUNX1,RUNX1T1,WRAP53,PTPRT,PRKRA,DST,UHRF1,KMT2A,PRKG1,FHIT,TP53
GO: Molecular Function	GO:0140297	DNA-binding transcription factor binding	 	4.505E-4	2.383E-1	1.036E-2	7.096E-2	9	396	MKKS,CDKN2A,TCF4,NCOA6,TCF3,RB1,KDM4C,RUNX1,CTBP2
GO: Molecular Function	GO:0008022	protein C-terminus binding	 	5.207E-4	2.755E-1	1.148E-2	7.861E-2	7	245	TCF4,ABL1,HCN1,DST,RBFOX1,DLG2,TP53
GO: Molecular Function	GO:0098918	structural constituent of synapse	 	6.595E-4	3.489E-1	1.396E-2	9.558E-2	3	30	MAGI2,DLG2,CTBP2
GO: Molecular Function	GO:0019901	protein kinase binding	 	9.280E-4	4.909E-1	1.888E-2	1.293E-1	13	832	CDKN2A,CDKN2B,TCF3,ABL1,DSCAM,XBP1,NR3C1,ADD3,PRKRA,CTBP2,PRKG1,SPAG16,TP53
GO: Molecular Function	GO:0046982	protein heterodimerization activity	 	1.053E-3	5.573E-1	2.003E-2	1.372E-1	11	637	SOX5,TCF4,TCF3,KHDRBS2,XBP1,IKZF1,NR3C1,RUNX1,DLG2,PBX1,TP53
GO: Molecular Function	GO:0099094	ligand-gated cation channel activity	 	1.077E-3	5.695E-1	2.003E-2	1.372E-1	6	202	HCN1,GRIK2,ITPR2,NRXN1,DLG2,DMD
GO: Molecular Function	GO:0098919	structural constituent of postsynaptic density	 	1.136E-3	6.008E-1	2.003E-2	1.372E-1	2	9	MAGI2,DLG2
GO: Molecular Function	GO:0070097	delta-catenin binding	 	1.136E-3	6.008E-1	2.003E-2	1.372E-1	2	9	ABL1,PTPRT
GO: Molecular Function	GO:0001158	enhancer sequence-specific DNA binding	 	1.342E-3	7.099E-1	2.290E-2	1.568E-1	5	142	TCF3,XBP1,IKZF1,KMT2A,TP53
GO: Molecular Function	GO:0098879	structural constituent of postsynaptic specialization	 	1.414E-3	7.482E-1	2.338E-2	1.601E-1	2	10	MAGI2,DLG2
GO: Molecular Function	GO:0140030	modification-dependent protein binding	 	1.660E-3	8.779E-1	2.660E-2	1.822E-1	5	149	RAG2,ATRX,UHRF1,KMT2A,MLLT3
