Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0071625	vocalization behavior	 	6.116E-7	1.452E-3	1.452E-3	1.212E-2	4	14	SHANK2,NRXN1,CNTNAP2,AUTS2
GO: Biological Process	GO:0035418	protein localization to synapse	 	1.184E-5	2.812E-2	1.406E-2	1.174E-1	4	28	ASIC2,ANKS1B,NRXN1,DLG2
GO: Biological Process	GO:0097120	receptor localization to synapse	 	2.736E-5	6.496E-2	2.165E-2	1.808E-1	3	12	ANKS1B,NRXN1,DLG2
GO: Biological Process	GO:0051960	regulation of nervous system development	 	3.775E-5	8.962E-2	2.240E-2	1.871E-1	15	881	MYCN,FOXO3,ASIC2,SEMA5A,LINGO2,TERT,MAGI2,PTPRD,TENM3,NRXN1,SLIT3,ROBO1,ELAVL4,ZFHX3,EP300
GO: Biological Process	GO:0097090	presynaptic membrane organization	 	5.597E-5	1.329E-1	2.657E-2	2.219E-1	3	15	MAGI2,PTPRD,NRXN1
GO: Biological Process	GO:0007416	synapse assembly	 	1.106E-4	2.625E-1	4.375E-2	3.653E-1	6	148	ASIC2,LINGO2,MAGI2,PTPRD,SHANK2,NRXN1
GO: Cellular Component	GO:0044297	cell body	 	9.093E-6	2.382E-3	1.669E-3	1.026E-2	14	691	DPP6,MYO1D,ASIC2,KCNIP1,GRM8,SLC6A3,SHANK2,NRXN1,CNTNAP2,ROBO1,DLG2,ELAVL4,CTNND2,ALK
GO: Cellular Component	GO:0043025	neuronal cell body	 	1.274E-5	3.337E-3	1.669E-3	1.026E-2	13	616	DPP6,MYO1D,ASIC2,KCNIP1,GRM8,SLC6A3,SHANK2,NRXN1,CNTNAP2,ROBO1,DLG2,ELAVL4,CTNND2
GO: Cellular Component	GO:0043005	neuron projection	 	2.496E-5	6.539E-3	1.788E-3	1.099E-2	18	1194	ANK2,MYO1D,ASIC2,ANKS1B,KCNIP1,GRM8,SLC6A3,MAGI2,SHANK2,TENM3,NRXN1,PTPRN2,CNTNAP2,ROBO1,DLG2,ELAVL4,CTNND2,ALK
GO: Cellular Component	GO:0036477	somatodendritic compartment	 	2.730E-5	7.153E-3	1.788E-3	1.099E-2	15	867	DPP6,MYO1D,ASIC2,ANKS1B,KCNIP1,GRM8,SLC6A3,MAGI2,SHANK2,NRXN1,CNTNAP2,ROBO1,DLG2,ELAVL4,CTNND2
GO: Cellular Component	GO:0016604	nuclear body	 	9.200E-5	2.410E-2	3.706E-3	2.278E-2	9	364	CDKN2A,ATRX,SMC6,ANKS1B,TERT,DDX1,EFTUD2,ZFHX3,MAML3
GO: Cellular Component	GO:0008076	voltage-gated potassium channel complex	 	1.015E-4	2.659E-2	3.706E-3	2.278E-2	5	92	DPP6,KCNIP1,CNTNAP2,DLG2,KCNS3
GO: Cellular Component	GO:0034705	potassium channel complex	 	1.068E-4	2.799E-2	3.706E-3	2.278E-2	5	93	DPP6,KCNIP1,CNTNAP2,DLG2,KCNS3
GO: Cellular Component	GO:0030673	axolemma	 	1.131E-4	2.964E-2	3.706E-3	2.278E-2	3	19	MYO1D,CNTNAP2,ROBO1
GO: Cellular Component	GO:0097458	neuron part	 	2.213E-4	5.799E-2	5.912E-3	3.634E-2	19	1545	DPP6,ANK2,MYO1D,ASIC2,ANKS1B,KCNIP1,GRM8,SLC6A3,MAGI2,SHANK2,TENM3,NRXN1,PTPRN2,CNTNAP2,ROBO1,DLG2,ELAVL4,CTNND2,ALK
GO: Cellular Component	GO:0044456	synapse part	 	2.256E-4	5.912E-2	5.912E-3	3.634E-2	12	708	ANK2,ASIC2,ANKS1B,NBEA,GRM8,SLC6A3,MAGI2,SHANK2,NRXN1,PTPRN2,DLG2,CTNND2
GO: Cellular Component	GO:0034703	cation channel complex	 	2.654E-4	6.953E-2	6.320E-3	3.885E-2	6	176	DPP6,KCNIP1,CNTNAP2,DLG2,KCNS3,CACNA2D3
GO: Cellular Component	GO:0005887	integral component of plasma membrane	 	5.105E-4	1.338E-1	1.070E-2	6.577E-2	19	1651	SLC6A18,DPP6,ASIC2,SLC6A19,KCNIP1,GRM8,SLC25A3,SLC6A3,PTPRD,SHANK2,TENM3,NRXN1,PTPRN2,CNTNAP2,ROBO1,DLG2,KCNS3,SLC12A7,ALK
GO: Cellular Component	GO:0044304	main axon	 	5.308E-4	1.391E-1	1.070E-2	6.577E-2	4	74	MYO1D,CNTNAP2,ROBO1,DLG2
GO: Cellular Component	GO:0034702	ion channel complex	 	6.730E-4	1.763E-1	1.244E-2	7.645E-2	7	291	DPP6,KCNIP1,SHANK2,CNTNAP2,DLG2,KCNS3,CACNA2D3
GO: Cellular Component	GO:0097060	synaptic membrane	 	7.738E-4	2.027E-1	1.244E-2	7.645E-2	7	298	ANK2,ANKS1B,NBEA,GRM8,SHANK2,NRXN1,DLG2
GO: Cellular Component	GO:0030425	dendrite	 	7.740E-4	2.028E-1	1.244E-2	7.645E-2	10	590	MYO1D,ASIC2,ANKS1B,KCNIP1,MAGI2,SHANK2,CNTNAP2,DLG2,ELAVL4,CTNND2
GO: Cellular Component	GO:0031226	intrinsic component of plasma membrane	 	8.069E-4	2.114E-1	1.244E-2	7.645E-2	19	1714	SLC6A18,DPP6,ASIC2,SLC6A19,KCNIP1,GRM8,SLC25A3,SLC6A3,PTPRD,SHANK2,TENM3,NRXN1,PTPRN2,CNTNAP2,ROBO1,DLG2,KCNS3,SLC12A7,ALK
GO: Cellular Component	GO:0044224	juxtaparanode region of axon	 	1.100E-3	2.883E-1	1.602E-2	9.845E-2	2	10	CNTNAP2,DLG2
GO: Cellular Component	GO:1902495	transmembrane transporter complex	 	1.326E-3	3.474E-1	1.753E-2	1.077E-1	7	327	DPP6,KCNIP1,SHANK2,CNTNAP2,DLG2,KCNS3,CACNA2D3
GO: Cellular Component	GO:0045202	synapse	 	1.393E-3	3.651E-1	1.753E-2	1.077E-1	12	870	ANK2,ASIC2,ANKS1B,NBEA,GRM8,SLC6A3,MAGI2,SHANK2,NRXN1,PTPRN2,DLG2,CTNND2
GO: Cellular Component	GO:0098797	plasma membrane protein complex	 	1.448E-3	3.793E-1	1.753E-2	1.077E-1	9	532	DPP6,KCNIP1,SLC6A3,SHANK2,SKAP1,CNTNAP2,DLG2,KCNS3,CACNA2D3
GO: Cellular Component	GO:1990351	transporter complex	 	1.472E-3	3.856E-1	1.753E-2	1.077E-1	7	333	DPP6,KCNIP1,SHANK2,CNTNAP2,DLG2,KCNS3,CACNA2D3
GO: Cellular Component	GO:0032589	neuron projection membrane	 	1.929E-3	5.053E-1	2.113E-2	1.299E-1	3	49	MYO1D,CNTNAP2,ROBO1
GO: Cellular Component	GO:0098794	postsynapse	 	1.936E-3	5.071E-1	2.113E-2	1.299E-1	8	449	ANK2,ASIC2,ANKS1B,NBEA,MAGI2,SHANK2,DLG2,CTNND2
GO: Cellular Component	GO:0098590	plasma membrane region	 	2.130E-3	5.580E-1	2.232E-2	1.372E-1	13	1041	SLC6A18,ANK2,MYO1D,SLC6A19,ANKS1B,NBEA,GRM8,SLC6A3,SHANK2,NRXN1,CNTNAP2,ROBO1,DLG2
GO: Cellular Component	GO:0030424	axon	 	2.234E-3	5.853E-1	2.251E-2	1.384E-1	9	567	MYO1D,SLC6A3,TENM3,NRXN1,PTPRN2,CNTNAP2,ROBO1,DLG2,ALK
GO: Cellular Component	GO:0044451	nucleoplasm part	 	3.781E-3	9.906E-1	3.669E-2	2.255E-1	10	732	CDKN2A,ATRX,SMC6,ANKS1B,TERT,DDX1,EFTUD2,ZFHX3,MAML3,EP300
GO: Cellular Component	GO:0005903	brush border	 	4.116E-3	1.000E0	3.851E-2	2.368E-1	4	129	SLC6A18,MYO1D,SLC6A19,SHANK2
GO: Cellular Component	GO:0031526	brush border membrane	 	4.315E-3	1.000E0	3.898E-2	2.396E-1	3	65	SLC6A18,SLC6A19,SHANK2
GO: Cellular Component	GO:0044463	cell projection part	 	4.602E-3	1.000E0	3.901E-2	2.398E-1	13	1139	SLC6A18,MYO1D,ASIC2,SLC6A19,ANKS1B,AGBL4,SHANK2,NRXN1,PTPRN2,CNTNAP2,ROBO1,DLG2,ELAVL4
GO: Cellular Component	GO:0033267	axon part	 	4.733E-3	1.000E0	3.901E-2	2.398E-1	6	309	MYO1D,NRXN1,PTPRN2,CNTNAP2,ROBO1,DLG2
GO: Cellular Component	GO:1990572	TERT-RMRP complex	 	5.062E-3	1.000E0	3.901E-2	2.398E-1	1	1	TERT
GO: Cellular Component	GO:1990707	nuclear subtelomeric heterochromatin	 	5.062E-3	1.000E0	3.901E-2	2.398E-1	1	1	ATRX
GO: Cellular Component	GO:1990421	subtelomeric heterochromatin	 	5.062E-3	1.000E0	3.901E-2	2.398E-1	1	1	ATRX
GO: Cellular Component	GO:0045211	postsynaptic membrane	 	5.617E-3	1.000E0	4.204E-2	2.585E-1	5	225	ANK2,ANKS1B,NBEA,SHANK2,DLG2
GO: Cellular Component	GO:0099572	postsynaptic specialization	 	6.378E-3	1.000E0	4.516E-2	2.776E-1	5	232	ANKS1B,MAGI2,SHANK2,DLG2,CTNND2
GO: Cellular Component	GO:0014069	postsynaptic density	 	6.378E-3	1.000E0	4.516E-2	2.776E-1	5	232	ANKS1B,MAGI2,SHANK2,DLG2,CTNND2
GO: Cellular Component	GO:0031253	cell projection membrane	 	6.665E-3	1.000E0	4.596E-2	2.825E-1	6	332	SLC6A18,MYO1D,SLC6A19,SHANK2,CNTNAP2,ROBO1
GO: Cellular Component	GO:0030054	cell junction	 	7.068E-3	1.000E0	4.748E-2	2.919E-1	13	1200	ANK2,ANKS1B,MAGI3,NBEA,MAGI2,FRMD4A,SHANK2,NRXN1,PTPRN2,SKAP1,DLG2,CTNND2,SLC2A11
Transcription Factor Binding Site	GCANCTGNY_V$MYOD_Q6	GCANCTGNY_V$MYOD_Q6	 	1.665E-6	7.877E-4	7.877E-4	5.307E-3	16	721	ANK2,ASIC2,BCAS3,NBEA,EPB41L4A,GAB2,AARS2,RBFOX1,AUTS2,DLG2,ELAVL4,KCNS3,ZFHX3,ALK,EP300,CACNA2D3
Transcription Factor Binding Site	YGCANTGCR_UNKNOWN	YGCANTGCR_UNKNOWN	 	2.655E-5	1.256E-2	4.501E-3	3.033E-2	6	104	VSNL1,ASIC2,GAB2,NRXN1,KCNS3,AGAP1
Transcription Factor Binding Site	CTGCAGY_UNKNOWN	CTGCAGY_UNKNOWN	 	2.855E-5	1.350E-2	4.501E-3	3.033E-2	13	607	FOXO3,VSNL1,NBEA,KCNIP1,ELMO1,GAB2,NRXN1,RBMS3,DLG2,ELAVL4,KCNS3,CTNND2,AGAP1
Transcription Factor Binding Site	V$MEF2_02	V$MEF2_02	 	1.224E-4	5.789E-2	1.447E-2	9.750E-2	7	197	NBEA,PACS1,RBMS3,RBFOX1,DLG2,ELAVL4,CACNA2D3
Transcription Factor Binding Site	YWATTWNNRGCT_UNKNOWN	YWATTWNNRGCT_UNKNOWN	 	3.264E-4	1.544E-1	3.087E-2	2.080E-1	4	58	RBFOX1,ZFHX3,CTNND2,CACNA2D3
Transcription Factor Binding Site	AACTTT_UNKNOWN	AACTTT_UNKNOWN	 	5.678E-4	2.686E-1	4.476E-2	3.016E-1	19	1531	FOXO3,SEMA5A,KCNIP1,ELMO1,SHANK2,NRXN1,RBMS3,SLIT3,RBFOX1,CNTNAP2,AUTS2,DLG2,ELAVL4,LSAMP,KCNS3,CTNND2,ALK,MAML3,CACNA2D3
Transcription Factor Binding Site	TCCATTKW_UNKNOWN	TCCATTKW_UNKNOWN	 	7.437E-4	3.518E-1	4.983E-2	3.357E-1	6	191	VSNL1,SHANK2,RBFOX1,ELAVL4,CTNND2,CACNA2D3
Transcription Factor Binding Site	V$HLF_01	V$HLF_01	 	1.159E-3	5.481E-1	4.983E-2	3.357E-1	6	208	FOXO3,SLIT3,RBFOX1,ROBO1,ELAVL4,CACNA2D3
Transcription Factor Binding Site	V$RSRFC4_01	V$RSRFC4_01	 	1.159E-3	5.481E-1	4.983E-2	3.357E-1	6	208	ELMO1,RBMS3,DLG2,ELAVL4,CTNND2,CACNA2D3
Transcription Factor Binding Site	V$AP4_Q6_01	V$AP4_Q6_01	 	1.159E-3	5.481E-1	4.983E-2	3.357E-1	6	208	MYCN,RBMS3,RBFOX1,DLG2,KCNS3,ALK
Transcription Factor Binding Site	V$MEF2_Q6_01	V$MEF2_Q6_01	 	1.159E-3	5.481E-1	4.983E-2	3.357E-1	6	208	ASIC2,PACS1,DLG2,ELAVL4,CTNND2,CACNA2D3
Disease	C0004352	Autistic Disorder	DisGeNET Curated	2.819E-9	6.464E-6	6.464E-6	5.375E-5	19	644	ATRX,MYO1D,ASIC2,SEMA5A,NBEA,GRM8,SLC6A3,SHANK2,NRXN1,RBMS3,RBFOX1,CNTNAP2,MACROD2,AUTS2,ROBO1,CTNND2,IMMP2L,EP300,AGAP1
Disease	C0524528	Pervasive Development Disorder	DisGeNET BeFree	1.906E-8	4.370E-5	2.185E-5	1.817E-4	9	116	TRIO,GRM8,SLC6A3,SHANK2,NRXN1,RBFOX1,CNTNAP2,MACROD2,CTNND2
Disease	C0280216	stage, neuroblastoma	DisGeNET BeFree	2.063E-7	4.730E-4	1.577E-4	1.311E-3	5	24	MYCN,FOXO3,ATRX,TERT,DDX1
Disease	C1510586	Autism Spectrum Disorders	DisGeNET Curated	1.048E-6	2.404E-3	5.805E-4	4.827E-3	13	436	DPP6,TRIO,SEMA5A,NBEA,GRM8,SLC6A3,SHANK2,NRXN1,RBMS3,RBFOX1,CNTNAP2,MACROD2,CTNND2
Disease	C0334586	Pleomorphic Xanthoastrocytoma	DisGeNET BeFree	1.266E-6	2.903E-3	5.805E-4	4.827E-3	4	15	CDKN2A,CDKN2B,ATRX,TENM3
Disease	C0010314	Cri-du-Chat Syndrome	DisGeNET Curated	1.756E-6	4.027E-3	6.712E-4	5.581E-3	3	5	SEMA5A,TERT,CTNND2
