Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0015293	symporter activity	 	2.769E-4	4.486E-2	4.215E-2	2.389E-1	3	143	SLC6A18,SLC25A3,SLC12A7
GO: Molecular Function	GO:0017113	dihydropyrimidine dehydrogenase (NADP+) activity	 	9.118E-4	1.477E-1	4.215E-2	2.389E-1	1	1	DPYD
GO: Molecular Function	GO:0003721	telomerase RNA reverse transcriptase activity	 	9.118E-4	1.477E-1	4.215E-2	2.389E-1	1	1	TERT
GO: Molecular Function	GO:0015291	secondary active transmembrane transporter activity	 	1.191E-3	1.930E-1	4.215E-2	2.389E-1	3	236	SLC6A18,SLC25A3,SLC12A7
GO: Molecular Function	GO:0002061	pyrimidine nucleobase binding	 	1.821E-3	2.950E-1	4.215E-2	2.389E-1	1	2	DPYD
GO: Molecular Function	GO:0003968	RNA-directed 5'-3' RNA polymerase activity	 	1.821E-3	2.950E-1	4.215E-2	2.389E-1	1	2	TERT
GO: Molecular Function	GO:0002058	uracil binding	 	1.821E-3	2.950E-1	4.215E-2	2.389E-1	1	2	DPYD
GO: Molecular Function	GO:0008509	anion transmembrane transporter activity	 	2.300E-3	3.726E-1	4.657E-2	2.640E-1	3	297	SLC6A18,SLC25A3,SLC12A7
GO: Cellular Component	GO:1990572	TERT-RMRP complex	 	9.452E-4	5.293E-2	2.643E-2	1.219E-1	1	1	TERT
GO: Cellular Component	GO:0000333	telomerase catalytic core complex	 	1.888E-3	1.057E-1	2.643E-2	1.219E-1	1	2	TERT
GO: Cellular Component	GO:0031379	RNA-directed RNA polymerase complex	 	1.888E-3	1.057E-1	2.643E-2	1.219E-1	1	2	TERT
GO: Cellular Component	GO:0071920	cleavage body	 	1.888E-3	1.057E-1	2.643E-2	1.219E-1	1	2	DDX1
GO: Cellular Component	GO:0070939	Dsl1/NZR complex	 	2.830E-3	1.585E-1	3.170E-2	1.462E-1	1	3	NBAS
GO: Cellular Component	GO:0016604	nuclear body	 	4.554E-3	2.551E-1	4.251E-2	1.960E-1	3	364	ZFHX3,TERT,DDX1
Pathway	545270	uracil degradation	BioSystems: BIOCYC	2.408E-3	1.445E-1	3.740E-2	1.750E-1	1	3	DPYD
Pathway	605866	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	BioSystems: KEGG	2.408E-3	1.445E-1	3.740E-2	1.750E-1	1	3	DPYD
Pathway	545364	thymine degradation	BioSystems: BIOCYC	2.408E-3	1.445E-1	3.740E-2	1.750E-1	1	3	DPYD
Pathway	1269908	Transport of inorganic cations/anions and amino acids/oligopeptides	BioSystems: REACTOME	3.148E-3	1.889E-1	3.740E-2	1.750E-1	2	107	SLC6A18,SLC12A7
Pathway	PW:0000167	pantothenate and CoA biosynthetic	Pathway Ontology	3.209E-3	1.926E-1	3.740E-2	1.750E-1	1	4	DPYD
Pathway	782398	pyrimidine ribonucleosides degradation	BioSystems: BIOCYC	4.811E-3	2.886E-1	3.740E-2	1.750E-1	1	6	DPYD
Pathway	SMP00007	Beta-Alanine Metabolism	SMPDB	5.610E-3	3.366E-1	3.740E-2	1.750E-1	1	7	DPYD
Pathway	1269912	Cation-coupled Chloride cotransporters	BioSystems: REACTOME	5.610E-3	3.366E-1	3.740E-2	1.750E-1	1	7	SLC12A7
Pathway	1269858	Telomere Extension By Telomerase	BioSystems: REACTOME	5.610E-3	3.366E-1	3.740E-2	1.750E-1	1	7	TERT
Pathway	P02771	Pyrimidine Metabolism	PantherDB	8.006E-3	4.804E-1	4.800E-2	2.246E-1	1	10	DPYD
Pathway	1270141	Pyrimidine catabolism	BioSystems: REACTOME	9.600E-3	5.760E-1	4.800E-2	2.246E-1	1	12	DPYD
Pathway	PW:0000032	pyrimidine metabolic	Pathway Ontology	9.600E-3	5.760E-1	4.800E-2	2.246E-1	1	12	DPYD
Disease	C0280216	stage, neuroblastoma	DisGeNET BeFree	1.915E-6	1.643E-3	1.643E-3	1.205E-2	3	24	MYCN,TERT,DDX1
Disease	C0221725	Obstruction of bronchus	DisGeNET BeFree	6.207E-6	5.326E-3	2.663E-3	1.953E-2	2	4	CLPTM1L,TERT
Disease	C0007117	Basal cell carcinoma	DisGeNET Curated	2.053E-5	1.761E-2	5.872E-3	4.305E-2	3	52	MYCN,CLPTM1L,TERT
Disease	C0795839	Chromosome 10, monosomy 10q	DisGeNET BeFree	1.079E-4	9.257E-2	1.609E-2	1.180E-1	2	15	MYCN,TERT
Disease	C0686377	CNS metastases	DisGeNET BeFree	1.753E-4	1.504E-1	1.609E-2	1.180E-1	2	19	MYCN,TERT
Disease	C0424688	Small head	DisGeNET Curated	5.289E-4	4.538E-1	1.609E-2	1.180E-1	4	375	MYCN,AUTS2,DPYD,TERT
Disease	C1306710	Facial asymmetry	DisGeNET Curated	5.366E-4	4.604E-1	1.609E-2	1.180E-1	2	33	MYCN,NBAS
Disease	C0040588	Tracheoesophageal Fistula	DisGeNET Curated	6.751E-4	5.793E-1	1.609E-2	1.180E-1	2	37	MYCN,TERT
Disease	C0423112	Short palpebral fissure	DisGeNET Curated	7.122E-4	6.111E-1	1.609E-2	1.180E-1	2	38	MYCN,AUTS2
Disease	C0346429	Multiple malignancy	DisGeNET BeFree	7.406E-4	6.355E-1	1.609E-2	1.180E-1	3	174	MYCN,CLPTM1L,TERT
Disease	C0700095	Central neuroblastoma	DisGeNET BeFree	8.084E-4	6.936E-1	1.609E-2	1.180E-1	7	1631	MYCN,NBAS,ZFHX3,PTPRD,TERT,MYCNOS,DDX1
Disease	C0242621	Isochromosomes	DisGeNET BeFree	8.292E-4	7.115E-1	1.609E-2	1.180E-1	2	41	MYCN,TERT
Disease	C0027766	Nervous System Neoplasms	DisGeNET Curated	9.548E-4	8.193E-1	1.609E-2	1.180E-1	2	44	MYCN,TERT
Disease	C0027819	Neuroblastoma	DisGeNET Curated	9.985E-4	8.567E-1	1.609E-2	1.180E-1	7	1689	MYCN,NBAS,ZFHX3,PTPRD,TERT,MYCNOS,DDX1
Disease	C0023448	Lymphoid leukemia	DisGeNET Curated	1.030E-3	8.840E-1	1.609E-2	1.180E-1	3	195	MYCN,CLPTM1L,TERT
Disease	20090730:Gudbjartsson	Atrial fibrillation	GWAS	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	ZFHX3
Disease	C0302874	depressive personality	DisGeNET BeFree	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	DPYD
Disease	C0279982	childhood synovial sarcoma	DisGeNET BeFree	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	MYCN
Disease	cv:CN188274	Mental retardation, autosomal dominant 26	Clinical Variations	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	AUTS2
Disease	OMIN:274270	DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY	OMIM	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	DPYD
Disease	20081125:Mushiroda	Idiopathic pulmonary fibrosis	GWAS	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	TERT
Disease	C4023050	Abnormal mitochondrial shape	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	SLC25A3
Disease	C0796548	Metastatic tumors of the Ewing's family	DisGeNET BeFree	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	PTPRD
Disease	C4021982	Abnormal eating behavior	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	DPYD
Disease	C1835845	Mitochondrial Phosphate Carrier Deficiency	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	SLC25A3
Disease	C3151443	DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 2	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	TERT
Disease	C1336257	Stage 3 Neuroblastoma	DisGeNET BeFree	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	MYCN
Disease	cv:CN077983	Fluorouracil response	Clinical Variations	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	DPYD
Disease	C4021893	Nonprogressive visual loss	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	NBAS
Disease	cv:C1835845	Mitochondrial phosphate carrier deficiency	Clinical Variations	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	SLC25A3
Disease	cv:CN184090	Fluoropyrimidine response	Clinical Variations	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	DPYD
Disease	C0040250	Tinea Capitis	DisGeNET BeFree	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	TERT
Disease	C4024201	Low-output congestive heart failure	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	SLC25A3
Disease	cv:C2720286	Dihydropyrimidine dehydrogenase deficiency	Clinical Variations	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	DPYD
Disease	cv:CN130951	PULMONARY FIBROSIS AND/OR BONE MARROW FAILURE, TELOMERE-RELATED, 1	Clinical Variations	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	TERT
Disease	C1517444	Ganglioneuroblastoma, Intermixed	DisGeNET BeFree	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	MYCN
Disease	C3809651	INFANTILE LIVER FAILURE SYNDROME 2	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	NBAS
Disease	OMIN:610773	MITOCHONDRIAL PHOSPHATE CARRIER DEFICIENCY	OMIM	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	SLC25A3
Disease	C4014435	MENTAL RETARDATION, AUTOSOMAL DOMINANT 26	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	AUTS2
Disease	C0034139	Purine-Pyrimidine Metabolism, Inborn Errors	DisGeNET Curated	1.050E-3	9.010E-1	1.609E-2	1.180E-1	1	1	DPYD
