Gene ID	Symbol	Name
2048	EPHB2	EPH receptor B2
151556	GPR155	G protein-coupled receptor 155
2059	EPS8	epidermal growth factor receptor pathway substrate 8
7179	TPTE	transmembrane phosphatase with tensin homology
10251	SPRY3	sprouty RTK signaling antagonist 3
9228	DLGAP2	DLG associated protein 2
3084	NRG1	neuregulin 1
11281	POU6F2	POU class 6 homeobox 2
18	ABAT	4-aminobutyrate aminotransferase
3092	HIP1	huntingtin interacting protein 1
5141	PDE4A	phosphodiesterase 4A
5142	PDE4B	phosphodiesterase 4B
8214	DGCR6	DiGeorge syndrome critical region gene 6
5144	PDE4D	phosphodiesterase 4D
8216	LZTR1	leucine zipper like transcription regulator 1
28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
10270	AKAP8	A-kinase anchoring protein 8
31	ACACA	acetyl-CoA carboxylase alpha
253980	KCTD13	potassium channel tetramerization domain containing 13
4128	MAOA	monoamine oxidase A
3105	HLA-A	major histocompatibility complex, class I, A
4129	MAOB	monoamine oxidase B
36	ACADSB	acyl-CoA dehydrogenase short/branched chain
4133	MAP2	microtubule associated protein 2
40	ASIC2	acid sensing ion channel subunit 2
4139	MARK1	microtubule affinity regulating kinase 1
55341	LSG1	large 60S subunit nuclear export GTPase 1
10286	BCAS2	BCAS2, pre-mRNA processing factor
8242	KDM5C	lysine demethylase 5C
3123	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
3126	HLA-DRB4	major histocompatibility complex, class II, DR beta 4
10295	BCKDK	branched chain ketoacid dehydrogenase kinase
5175	PECAM1	platelet and endothelial cell adhesion molecule 1
55	ACPP	acid phosphatase, prostate
4152	MBD1	methyl-CpG binding domain protein 1
7225	TRPC6	transient receptor potential cation channel subfamily C member 6
4155	MBP	myelin basic protein
60	ACTB	actin beta
3135	HLA-G	major histocompatibility complex, class I, G
4163	MCC	MCC, WNT signaling pathway regulator
5187	PER1	period circadian regulator 1
11331	PHB2	prohibitin 2
60490	PPCDC	phosphopantothenoylcysteine decarboxylase
3150	HMGN1	high mobility group nucleosome binding domain 1
7248	TSC1	TSC complex subunit 1
7249	TSC2	TSC complex subunit 2
2131	EXT1	exostosin glycosyltransferase 1
10327	AKR1A1	aldo-keto reductase family 1 member A1
7257	TSNAX	translin associated factor X
30813	VSX1	visual system homeobox 1
95	ACY1	aminoacylase 1
114785	MBD6	methyl-CpG binding domain protein 6
100506013	APELA	apelin receptor early endogenous ligand
100	ADA	adenosine deaminase
114788	CSMD3	CUB and Sushi multiple domains 3
2150	F2RL1	F2R like trypsin receptor 1
114791	TUBGCP5	tubulin gamma complex associated protein 5
94313	AUTS5	Autism, susceptibility to, 5
6249	CLIP1	CAP-Gly domain containing linker protein 1
30827	CXXC1	CXXC finger protein 1
4204	MECP2	methyl-CpG binding protein 2
4205	MEF2A	myocyte enhancer factor 2A
4208	MEF2C	myocyte enhancer factor 2C
1137	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit
1139	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit
1141	CHRNB2	cholinergic receptor nicotinic beta 2 subunit
2166	FAAH	fatty acid amide hydrolase
6262	RYR2	ryanodine receptor 2
51322	WAC	WW domain containing adaptor with coiled-coil
3198	HOXA1	homeobox A1
7296	TXNRD1	thioredoxin reductase 1
10371	SEMA3A	semaphorin 3A
133	ADM	adrenomedullin
2182	ACSL4	acyl-CoA synthetase long chain family member 4
135	ADORA2A	adenosine A2a receptor
4233	MET	MET proto-oncogene, receptor tyrosine kinase
3211	HOXB1	homeobox B1
220296	HEPACAM	hepatic and glial cell adhesion molecule
54413	NLGN3	neuroligin 3
2191	FAP	fibroblast activation protein alpha
4240	MFGE8	milk fat globule-EGF factor 8 protein
139411	PTCHD1	patched domain containing 1
57492	ARID1B	AT-rich interaction domain 1B
57496	MRTFB	myocardin related transcription factor B
23705	CADM1	cell adhesion molecule 1
9369	NRXN3	neurexin 3
154	ADRB2	adrenoceptor beta 2
158	ADSL	adenylosuccinate lyase
57502	NLGN4X	neuroligin 4 X-linked
7328	UBE2H	ubiquitin conjugating enzyme E2 H
9378	NRXN1	neurexin 1
3237	HOXD11	homeobox D11
79017	GGCT	gamma-glutamylcyclotransferase
192683	SCAMP5	secretory carrier membrane protein 5
7337	UBE3A	ubiquitin protein ligase E3A
3242	HPD	4-hydroxyphenylpyruvate dioxygenase
5290	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
5291	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
1196	CLK2	CDC like kinase 2
5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
5294	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
176	ACAN	aggrecan
177	AGER	advanced glycosylation end-product specific receptor
6323	SCN1A	sodium voltage-gated channel alpha subunit 1
6326	SCN2A	sodium voltage-gated channel alpha subunit 2
57526	PCDH19	protocadherin 19
183	AGT	angiotensinogen
4280	MICE	MHC class I polypeptide-related sequence E (pseudogene)
6328	SCN3A	sodium voltage-gated channel alpha subunit 3
4282	MIF	macrophage migration inhibitory factor
5307	PITX1	paired like homeodomain 1
6332	SCN7A	sodium voltage-gated channel alpha subunit 7
57532	NUFIP2	nuclear FMR1 interacting protein 2
6334	SCN8A	sodium voltage-gated channel alpha subunit 8
3265	HRAS	HRas proto-oncogene, GTPase
6343	SCT	secretin
5321	PLA2G4A	phospholipase A2 group IVA
54476	RNF216	ring finger protein 216
207	AKT1	AKT serine/threonine kinase 1
5329	PLAUR	plasminogen activator, urokinase receptor
57555	NLGN2	neuroligin 2
152789	JAKMIP1	janus kinase and microtubule interacting protein 1
217	ALDH2	aldehyde dehydrogenase 2 family member
7389	UROD	uroporphyrinogen decarboxylase
57575	PCDH10	protocadherin 10
5354	PLP1	proteolipid protein 1
57580	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
10479	SLC9A6	solute carrier family 9 member A6
6383	SDC2	syndecan 2
9456	HOMER1	homer scaffold protein 1
2290	FOXG1	forkhead box G1
1269	CNR2	cannabinoid receptor 2
1270	CNTF	ciliary neurotrophic factor
116987	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
7422	VEGFA	vascular endothelial growth factor A
25859	PART1	prostate androgen-regulated transcript 1
60677	CELF6	CUGBP Elav-like family member 6
7432	VIP	vasoactive intestinal peptide
4360	MRC1	mannose receptor C-type 1
54538	ROBO4	roundabout guidance receptor 4
7436	VLDLR	very low density lipoprotein receptor
270	AMPD1	adenosine monophosphate deaminase 1
3342	HTC2	hypertrichosis 2 (generalized, congenital)
3346	HTN1	histatin 1
6418	SET	SET nuclear proto-oncogene
3351	HTR1B	5-hydroxytryptamine receptor 1B
54551	MAGEL2	MAGE family member L2
3352	HTR1D	5-hydroxytryptamine receptor 1D
10522	DEAF1	DEAF1 transcription factor
2332	FMR1	fragile X mental retardation 1
3356	HTR2A	5-hydroxytryptamine receptor 2A
9500	MAGED1	MAGE family member D1
2334	AFF2	AF4/FMR2 family member 2
3359	HTR3A	5-hydroxytryptamine receptor 3A
1312	COMT	catechol-O-methyltransferase
288	ANK3	ankyrin 3
3360	HTR4	5-hydroxytryptamine receptor 4
3361	HTR5A	5-hydroxytryptamine receptor 5A
7461	CLIP2	CAP-Gly domain containing linker protein 2
9513	FXR2	FMR1 autosomal homolog 2
3371	TNC	tenascin C
9516	LITAF	lipopolysaccharide induced TNF factor
22829	NLGN4Y	neuroligin 4 Y-linked
7472	WNT2	Wnt family member 2
728378	POTEF	POTE ankyrin domain family member F
641339	ZNF674	zinc finger protein 674
5428	POLG	DNA polymerase gamma, catalytic subunit
54584	GNB1L	G protein subunit beta 1 like
80184	CEP290	centrosomal protein 290
8506	CNTNAP1	contactin associated protein 1
83259	PCDH11Y	protocadherin 11 Y-linked
170302	ARX	aristaless related homeobox
321	APBA2	amyloid beta precursor protein binding family A member 2
554314	AUTS6	Autism, susceptibility to, 6
8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
7490	WT1	Wilms tumor 1
5443	POMC	proopiomelanocortin
324	APC	APC, WNT signaling pathway regulator
5444	PON1	paraoxonase 1
22854	NTNG1	netrin G1
25928	SOSTDC1	sclerostin domain containing 1
10569	SLU7	SLU7 homolog, splicing factor
7498	XDH	xanthine dehydrogenase
1356	CP	ceruloplasmin
55628	ZNF407	zinc finger protein 407
26960	NBEA	neurobeachin
57680	CHD8	chromodomain helicase DNA binding protein 8
55636	CHD7	chromodomain helicase DNA binding protein 7
7508	XPC	XPC complex subunit, DNA damage recognition and repair factor
25942	SIN3A	SIN3 transcription regulator family member A
22871	NLGN1	neuroligin 1
7514	XPO1	exportin 1
348	APOE	apolipoprotein E
351	APP	amyloid beta precursor protein
9568	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
6497	SKI	SKI proto-oncogene
9569	GTF2IRD1	GTF2I repeat domain containing 1
353	APRT	adenine phosphoribosyltransferase
100188314	AUTS12	autism, susceptibility to, 12
100188317	AUTS13	autism, susceptibility to, 13
9575	CLOCK	clock circadian regulator
361	AQP4	aquaporin 4
6505	SLC1A1	solute carrier family 1 member 1
6506	SLC1A2	solute carrier family 1 member 2
1387	CREBBP	CREB binding protein
6507	SLC1A3	solute carrier family 1 member 3
7531	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
30061	SLC40A1	solute carrier family 40 member 1
7534	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
367	AR	androgen receptor
53615	MBD3	methyl-CpG binding domain protein 3
85358	SHANK3	SH3 and multiple ankyrin repeat domains 3
343413	FCRL6	Fc receptor like 6
26993	AKAP8L	A-kinase anchoring protein 8 like
25970	SH2B1	SH2B adaptor protein 1
406900	MIR106B	microRNA 106b
374	AREG	amphiregulin
1398	CRK	CRK proto-oncogene, adaptor protein
1399	CRKL	CRK like proto-oncogene, adaptor protein
8573	CASK	calcium/calmodulin dependent serine protein kinase
22909	FAN1	FANCD2 and FANCI associated nuclease 1
3458	IFNG	interferon gamma
6531	SLC6A3	solute carrier family 6 member 3
6532	SLC6A4	solute carrier family 6 member 4
6535	SLC6A8	solute carrier family 6 member 8
51592	TRIM33	tripartite motif containing 33
22926	ATF6	activating transcription factor 6
29072	SETD2	SET domain containing 2
406928	MIR137	microRNA 137
3479	IGF1	insulin like growth factor 1
1431	CS	citrate synthase
5528	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta
3481	IGF2	insulin like growth factor 2
27034	ACAD8	acyl-CoA dehydrogenase family member 8
56731	SLC2A4RG	SLC2A4 regulator
8604	SLC25A12	solute carrier family 25 member 12
412	STS	steroid sulfatase
22941	SHANK2	SH3 and multiple ankyrin repeat domains 2
1437	CSF2	colony stimulating factor 2
3486	IGFBP3	insulin like growth factor binding protein 3
414	ARSD	arylsulfatase D
6559	SLC12A3	solute carrier family 12 member 3
29091	STXBP6	syntaxin binding protein 6
27044	SND1	staphylococcal nuclease and tudor domain containing 1
10660	LBX1	ladybird homeobox 1
4519	MT-CYB	cytochrome b
129446	XIRP2	xin actin binding repeat containing 2
4520	MTF1	metal regulatory transcription factor 1
4522	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
2475	MTOR	mechanistic target of rapamycin kinase
4524	MTHFR	methylenetetrahydrofolate reductase
